Protocol,Smart Contract Name,Repo Link,Category,Smart Contract Address
,MakerDAO-PIP_UNIV2USDCETH,https://github.com/makerdao/univ2-lp-oracle,DeFi;Collateralized Debt Position (CDP),0xf751f24DD9cfAd885984D1bA68860F558D21E52A
,MakerDAO-MCD_JOIN_UNIV2DAIUSDC_A,https://github.com/makerdao/xdomain-dss,DeFi;Collateralized Debt Position (CDP),0xA81598667AC561986b70ae11bBE2dd5348ed4327
,MakerDAO-PIP_UNIV2DAIUSDC,https://github.com/makerdao/univ2-lp-oracle,DeFi;Collateralized Debt Position (CDP),0x25D03C2C928ADE19ff9f4FFECc07d991d0df054B
,MakerDAO-MCD_JOIN_UNIV2ETHUSDT_A,https://github.com/makerdao/xdomain-dss,DeFi;Collateralized Debt Position (CDP),0x4aAD139a88D2dd5e7410b408593208523a3a891d
,MakerDAO-PIP_UNIV2ETHUSDT,https://github.com/makerdao/univ2-lp-oracle,DeFi;Collateralized Debt Position (CDP),0x5f6dD5B421B8d92c59dC6D907C9271b1DBFE3016
,MakerDAO-MCD_JOIN_UNIV2LINKETH_A,https://github.com/makerdao/xdomain-dss,DeFi;Collateralized Debt Position (CDP),0xDae88bDe1FB38cF39B6A02b595930A3449e593A6
,MakerDAO-PIP_UNIV2LINKETH,https://github.com/makerdao/univ2-lp-oracle,DeFi;Collateralized Debt Position (CDP),0xd7d31e62AE5bfC3bfaa24Eda33e8c32D31a1746F
,MakerDAO-MCD_JOIN_UNIV2UNIETH_A,https://github.com/makerdao/xdomain-dss,DeFi;Collateralized Debt Position (CDP),0xf11a98339FE1CdE648e8D1463310CE3ccC3d7cC1
,MakerDAO-PIP_UNIV2UNIETH,https://github.com/makerdao/univ2-lp-oracle,DeFi;Collateralized Debt Position (CDP),0x8462A88f50122782Cc96108F476deDB12248f931
,MakerDAO-MCD_JOIN_UNIV2WBTCDAI_A,https://github.com/makerdao/xdomain-dss,DeFi;Collateralized Debt Position (CDP),0xD40798267795Cbf3aeEA8E9F8DCbdBA9b5281fcC
,MakerDAO-PIP_UNIV2WBTCDAI,https://github.com/makerdao/univ2-lp-oracle,DeFi;Collateralized Debt Position (CDP),0x5bB72127a196392cf4aC00Cf57aB278394d24e55
,MakerDAO-MCD_JOIN_UNIV2AAVEETH_A,https://github.com/makerdao/xdomain-dss,DeFi;Collateralized Debt Position (CDP),0x42AFd448Df7d96291551f1eFE1A590101afB1DfF
,MakerDAO-PIP_UNIV2AAVEETH,https://github.com/makerdao/univ2-lp-oracle,DeFi;Collateralized Debt Position (CDP),0x32d8416e8538Ac36272c44b0cd962cD7E0198489
